Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2015-02-01,Autres Pays,Autres Pays,18,6,199,"11,1"
2015-01-01,Amérique Centrale,Amérique Centrale,67,16,814,"12,1"
2015-01-01,Amérique du Nord,Canada,1190,848,13325,"11,2"
2015-01-01,Amérique du Nord,États-Unis (y compris Hawaii),5281,3163,51968,"9,8"
2015-01-01,Amérique du Sud,Amérique du Sud,285,91,3557,"12,5"
2015-01-01,Asie,Asie,1176,117,9619,"8,2"
2015-01-01,Europe,Europe (hors France),1432,512,19755,"13,8"
2015-01-01,Europe,France,1524,189,52486,"34,4"
2015-01-01,Pacifique,Pacifique,1312,172,15209,"11,6"
2015-01-01,Autres Pays,Autres Pays,76,21,1029,"13,5"
2014-12-01,Amérique Centrale,Amérique Centrale,145,90,1836,"12,7"
2014-12-01,Amérique du Nord,Canada,761,389,9921,13
2014-12-01,Amérique du Nord,États-Unis (y compris Hawaii),6042,2381,63530,"10,5"
2014-12-01,Amérique du Sud,Amérique du Sud,465,95,5953,"12,8"
2014-12-01,Asie,Asie,1477,151,12094,"8,2"
2014-12-01,Europe,Europe (hors France),1850,570,24619,"13,3"
2014-12-01,Europe,France,2377,200,74632,"31,4"
2014-12-01,Pacifique,Pacifique,1960,219,28671,"14,6"
2014-12-01,Autres Pays,Autres Pays,92,10,1514,"16,5"
2014-11-01,Amérique Centrale,Amérique Centrale,133,37,1334,10
2014-11-01,Amérique du Nord,Canada,879,417,10931,"12,4"
2014-11-01,Amérique du Nord,États-Unis (y compris Hawaii),5293,1512,51459,"9,7"
2014-11-01,Amérique du Sud,Amérique du Sud,300,60,3364,"11,2"
2014-11-01,Asie,Asie,1818,146,13271,"7,3"
2014-11-01,Europe,Europe (hors France),1879,533,26859,"14,3"
2014-11-01,Europe,France,2700,247,77502,"28,7"
2014-11-01,Pacifique,Pacifique,1586,220,17481,11
2014-11-01,Autres Pays,Autres Pays,58,16,776,"13,4"
2014-10-01,Amérique Centrale,Amérique Centrale,86,32,1105,"12,8"
2014-10-01,Amérique du Nord,Canada,839,534,11542,"13,8"
2014-10-01,Amérique du Nord,États-Unis (y compris Hawaii),5700,2480,61720,"10,8"
2014-10-01,Amérique du Sud,Amérique du Sud,558,116,6277,"11,2"
2014-10-01,Asie,Asie,1263,106,9783,"7,7"
2014-10-01,Europe,Europe (hors France),3328,1082,47545,"14,3"
2014-10-01,Europe,France,3817,448,99554,"26,1"
2014-10-01,Pacifique,Pacifique,1869,432,22399,12
2014-10-01,Autres Pays,Autres Pays,86,24,1389,"16,2"
2014-09-01,Amérique Centrale,Amérique Centrale,60,9,876,"14,6"
2014-09-01,Amérique du Nord,Canada,451,167,6372,"14,1"
2014-09-01,Amérique du Nord,États-Unis (y compris Hawaii),4285,1147,46051,"10,7"
2014-09-01,Amérique du Sud,Amérique du Sud,711,38,8003,"11,3"
2014-09-01,Asie,Asie,1541,61,11882,"7,7"
2014-09-01,Europe,Europe (hors France),3209,331,45002,14
2014-09-01,Europe,France,3350,247,89497,"26,7"
2014-09-01,Pacifique,Pacifique,1832,280,20563,"11,2"
2014-09-01,Autres Pays,Autres Pays,61,5,589,"9,7"
2014-08-01,Amérique Centrale,Amérique Centrale,29,1,297,"10,2"
2014-08-01,Amérique du Nord,Canada,299,36,3955,"13,2"
2014-08-01,Amérique du Nord,États-Unis (y compris Hawaii),3904,604,39206,10
2014-08-01,Amérique du Sud,Amérique du Sud,351,36,4077,"11,6"
2014-08-01,Asie,Asie,1326,30,9703,"7,3"
2014-08-01,Europe,Europe (hors France),3709,313,49736,"13,4"
2014-08-01,Europe,France,3374,295,84088,"24,9"
2014-08-01,Pacifique,Pacifique,1566,183,21245,"13,6"
2014-08-01,Autres Pays,Autres Pays,45,3,912,"20,3"
2014-07-01,Amérique Centrale,Amérique Centrale,98,15,1342,"13,7"
2014-07-01,Amérique du Nord,Canada,358,55,4840,"13,5"
2014-07-01,Amérique du Nord,États-Unis (y compris Hawaii),5064,730,52347,"10,3"
2014-07-01,Amérique du Sud,Amérique du Sud,479,31,5664,"11,8"
2014-07-01,Asie,Asie,1480,45,11870,8
2014-07-01,Europe,Europe (hors France),3334,381,46460,"13,9"
2014-07-01,Europe,France,4499,318,124451,"27,7"
2014-07-01,Pacifique,Pacifique,2268,220,27384,"12,1"
2014-07-01,Autres Pays,Autres Pays,76,16,1157,"15,2"
2014-06-01,Amérique Centrale,Amérique Centrale,44,10,720,"16,4"
2014-06-01,Amérique du Nord,Canada,258,40,3489,"13,5"
2014-06-01,Amérique du Nord,États-Unis (y compris Hawaii),5049,760,56619,"11,2"
2014-06-01,Amérique du Sud,Amérique du Sud,331,25,4056,"12,3"
2014-06-01,Asie,Asie,1463,35,11192,"7,7"
2014-06-01,Europe,Europe (hors France),2207,247,30949,14
2014-06-01,Europe,France,2979,194,95165,"31,9"
2014-06-01,Pacifique,Pacifique,2273,241,29547,13
