Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2012-11-01,Autres Pays,Autres Pays,53,10,1167,22
2012-10-01,Amérique Centrale,Amérique Centrale,97,22,935,"9,6"
2012-10-01,Amérique du Nord,Canada,593,301,7193,"12,1"
2012-10-01,Amérique du Nord,États-Unis (y compris Hawaii),4229,867,40549,"9,6"
2012-10-01,Amérique du Sud,Amérique du Sud,681,30,8064,"11,8"
2012-10-01,Asie,Asie,1447,32,9896,"6,8"
2012-10-01,Europe,Europe (hors France),2591,340,31877,"12,3"
2012-10-01,Europe,France,3840,331,97873,"25,5"
2012-10-01,Pacifique,Pacifique,1996,135,20501,"10,3"
2012-10-01,Autres Pays,Autres Pays,45,3,611,"13,6"
2012-09-01,Amérique Centrale,Amérique Centrale,62,8,514,"8,3"
2012-09-01,Amérique du Nord,Canada,487,171,6487,"13,3"
2012-09-01,Amérique du Nord,États-Unis (y compris Hawaii),4272,895,43843,"10,3"
2012-09-01,Amérique du Sud,Amérique du Sud,558,21,5965,"10,7"
2012-09-01,Asie,Asie,1705,20,11657,"6,8"
2012-09-01,Europe,Europe (hors France),3344,262,41270,"12,3"
2012-09-01,Europe,France,3269,279,78584,24
2012-09-01,Pacifique,Pacifique,2184,149,21184,"9,7"
2012-09-01,Autres Pays,Autres Pays,63,12,876,"13,9"
2012-08-01,Amérique Centrale,Amérique Centrale,61,9,1013,"16,6"
2012-08-01,Amérique du Nord,Canada,413,92,5651,"13,7"
2012-08-01,Amérique du Nord,États-Unis (y compris Hawaii),3975,700,40733,"10,2"
2012-08-01,Amérique du Sud,Amérique du Sud,422,17,4420,"10,5"
2012-08-01,Asie,Asie,1578,21,11217,"7,1"
2012-08-01,Europe,Europe (hors France),4233,453,52097,"12,3"
2012-08-01,Europe,France,3439,341,76193,"22,2"
2012-08-01,Pacifique,Pacifique,1842,374,24088,"13,1"
2012-08-01,Autres Pays,Autres Pays,39,4,423,"10,8"
2012-07-01,Amérique Centrale,Amérique Centrale,141,27,1720,"12,2"
2012-07-01,Amérique du Nord,Canada,380,75,5022,"13,2"
2012-07-01,Amérique du Nord,États-Unis (y compris Hawaii),4418,634,46549,"10,5"
2012-07-01,Amérique du Sud,Amérique du Sud,583,33,7593,13
2012-07-01,Asie,Asie,1657,91,13032,"7,9"
2012-07-01,Europe,Europe (hors France),3501,381,44963,"12,8"
2012-07-01,Europe,France,4269,345,112452,"26,3"
2012-07-01,Pacifique,Pacifique,1971,289,22707,"11,5"
2012-07-01,Autres Pays,Autres Pays,59,7,894,"15,2"
2012-06-01,Amérique Centrale,Amérique Centrale,64,25,760,"11,9"
2012-06-01,Amérique du Nord,Canada,317,98,4534,"14,3"
2012-06-01,Amérique du Nord,États-Unis (y compris Hawaii),4961,1149,53796,"10,8"
2012-06-01,Amérique du Sud,Amérique du Sud,463,44,5603,"12,1"
2012-06-01,Asie,Asie,1209,29,10314,"8,5"
2012-06-01,Europe,Europe (hors France),2471,212,31770,"12,9"
2012-06-01,Europe,France,2957,176,97524,33
2012-06-01,Pacifique,Pacifique,2440,485,28095,"11,5"
2012-06-01,Autres Pays,Autres Pays,58,10,1021,"17,6"
2012-05-01,Amérique Centrale,Amérique Centrale,112,26,1106,"9,9"
2012-05-01,Amérique du Nord,Canada,643,306,8167,"12,7"
2012-05-01,Amérique du Nord,États-Unis (y compris Hawaii),5090,1008,50350,"9,9"
2012-05-01,Amérique du Sud,Amérique du Sud,452,15,4898,"10,8"
2012-05-01,Asie,Asie,1101,41,7922,"7,2"
2012-05-01,Europe,Europe (hors France),1832,297,23982,"13,1"
2012-05-01,Europe,France,2365,180,61877,"26,2"
2012-05-01,Pacifique,Pacifique,2231,275,23579,"10,6"
2012-05-01,Autres Pays,Autres Pays,53,17,669,"12,6"
2012-04-01,Amérique Centrale,Amérique Centrale,141,22,1215,"8,6"
2012-04-01,Amérique du Nord,Canada,473,162,5614,"11,9"
2012-04-01,Amérique du Nord,États-Unis (y compris Hawaii),4522,1265,44951,"9,9"
2012-04-01,Amérique du Sud,Amérique du Sud,604,26,6926,"11,5"
2012-04-01,Asie,Asie,1255,55,9110,"7,3"
2012-04-01,Europe,Europe (hors France),1549,304,22231,"14,4"
2012-04-01,Europe,France,2796,254,67891,"24,3"
2012-04-01,Pacifique,Pacifique,1779,243,18864,"10,6"
2012-04-01,Autres Pays,Autres Pays,28,3,327,"11,7"
2012-03-01,Amérique Centrale,Amérique Centrale,125,23,1180,"9,4"
2012-03-01,Amérique du Nord,Canada,685,249,8015,"11,7"
2012-03-01,Amérique du Nord,États-Unis (y compris Hawaii),4652,961,43316,"9,3"
2012-03-01,Amérique du Sud,Amérique du Sud,408,18,4466,"10,9"
2012-03-01,Asie,Asie,1212,48,9512,"7,8"
2012-03-01,Europe,Europe (hors France),1554,381,20347,"13,1"
2012-03-01,Europe,France,3035,235,79239,"26,1"
2012-03-01,Pacifique,Pacifique,1368,88,15639,"11,4"
2012-03-01,Autres Pays,Autres Pays,36,3,889,"24,7"
2012-02-01,Amérique Centrale,Amérique Centrale,82,24,673,"8,2"
2012-02-01,Amérique du Nord,Canada,963,405,10543,"10,9"
2012-02-01,Amérique du Nord,États-Unis (y compris Hawaii),3840,1016,33843,"8,8"
2012-02-01,Amérique du Sud,Amérique du Sud,347,27,3824,11
2012-02-01,Asie,Asie,1053,54,7566,"7,2"
2012-02-01,Europe,Europe (hors France),1274,318,17529,"13,8"
2012-02-01,Europe,France,2643,278,69468,"26,3"
2012-02-01,Pacifique,Pacifique,1286,131,12533,"9,7"
2012-02-01,Autres Pays,Autres Pays,35,6,648,"18,5"
2012-01-01,Amérique Centrale,Amérique Centrale,85,10,1040,"12,2"
2012-01-01,Amérique du Nord,Canada,884,584,11648,"13,2"
2012-01-01,Amérique du Nord,États-Unis (y compris Hawaii),3291,1556,34898,"10,6"
2012-01-01,Amérique du Sud,Amérique du Sud,443,119,5356,"12,1"
2012-01-01,Asie,Asie,1187,68,9659,"8,1"
2012-01-01,Europe,Europe (hors France),1376,468,19260,14
2012-01-01,Europe,France,1738,73,55627,32
2012-01-01,Pacifique,Pacifique,1217,92,15753,"12,9"
2012-01-01,Autres Pays,Autres Pays,17,3,120,"7,1"
2011-12-01,Amérique Centrale,Amérique Centrale,95,41,959,"10,1"
2011-12-01,Amérique du Nord,Canada,674,274,7892,"11,7"
2011-12-01,Amérique du Nord,États-Unis (y compris Hawaii),4602,1505,45963,10
2011-12-01,Amérique du Sud,Amérique du Sud,477,77,5763,"12,1"
2011-12-01,Asie,Asie,1343,56,11929,"8,9"
2011-12-01,Europe,Europe (hors France),1616,424,23220,"14,4"
2011-12-01,Europe,France,3324,155,93577,"28,2"
2011-12-01,Pacifique,Pacifique,1922,155,31382,"16,3"
2011-12-01,Autres Pays,Autres Pays,53,6,859,"16,2"
2011-11-01,Amérique Centrale,Amérique Centrale,88,12,878,10
2011-11-01,Amérique du Nord,Canada,590,135,6596,"11,2"
2011-11-01,Amérique du Nord,États-Unis (y compris Hawaii),4497,639,40852,"9,1"
2011-11-01,Amérique du Sud,Amérique du Sud,542,56,5779,"10,7"
2011-11-01,Asie,Asie,1160,68,9556,"8,2"
2011-11-01,Europe,Europe (hors France),1636,216,21391,"13,1"
2011-11-01,Europe,France,2743,217,77477,"28,2"
2011-11-01,Pacifique,Pacifique,1793,85,19413,"10,8"
2011-11-01,Autres Pays,Autres Pays,37,6,612,"16,5"
2011-10-01,Amérique Centrale,Amérique Centrale,66,6,733,"11,1"
2011-10-01,Amérique du Nord,Canada,715,389,9191,"12,9"
2011-10-01,Amérique du Nord,États-Unis (y compris Hawaii),3920,747,37654,"9,6"
2011-10-01,Amérique du Sud,Amérique du Sud,498,29,4887,"9,8"
2011-10-01,Asie,Asie,1383,49,9359,"6,8"
2011-10-01,Europe,Europe (hors France),2657,421,32128,"12,1"
2011-10-01,Europe,France,3648,220,92512,"25,4"
2011-10-01,Pacifique,Pacifique,1590,145,15838,10
2011-10-01,Autres Pays,Autres Pays,42,10,551,"13,1"
2011-09-01,Amérique Centrale,Amérique Centrale,40,11,305,"7,6"
2011-09-01,Amérique du Nord,Canada,470,163,5456,"11,6"
2011-09-01,Amérique du Nord,États-Unis (y compris Hawaii),4112,806,40295,"9,8"
2011-09-01,Amérique du Sud,Amérique du Sud,528,48,5174,"9,8"
2011-09-01,Asie,Asie,1309,58,9219,7
2011-09-01,Europe,Europe (hors France),3662,343,43585,"11,9"
2011-09-01,Europe,France,2924,205,70371,"24,1"
2011-09-01,Pacifique,Pacifique,1331,160,14709,"11,1"
2011-09-01,Autres Pays,Autres Pays,26,7,818,"31,5"
2011-08-01,Amérique Centrale,Amérique Centrale,31,2,250,"8,1"
2011-08-01,Amérique du Nord,Canada,411,78,5167,"12,6"
2011-08-01,Amérique du Nord,États-Unis (y compris Hawaii),3828,661,38212,10
2011-08-01,Amérique du Sud,Amérique du Sud,356,36,4360,"12,2"
2011-08-01,Asie,Asie,1727,46,12594,"7,3"
2011-08-01,Europe,Europe (hors France),4245,461,49612,"11,7"
2011-08-01,Europe,France,3147,300,72071,"22,9"
2011-08-01,Pacifique,Pacifique,1579,279,18076,"11,4"
2011-08-01,Autres Pays,Autres Pays,48,10,1038,"21,6"
2011-07-01,Amérique Centrale,Amérique Centrale,78,13,796,"10,2"
2011-07-01,Amérique du Nord,Canada,438,118,5651,"12,9"
2011-07-01,Amérique du Nord,États-Unis (y compris Hawaii),3848,687,41077,"10,7"
2011-07-01,Amérique du Sud,Amérique du Sud,440,43,4965,"11,3"
2011-07-01,Asie,Asie,1448,35,10901,"7,5"
2011-07-01,Europe,Europe (hors France),4015,572,49619,"12,4"
2011-07-01,Europe,France,4434,397,119595,27
2011-07-01,Pacifique,Pacifique,2103,361,24251,"11,5"
2011-07-01,Autres Pays,Autres Pays,54,5,1245,"23,1"
2011-06-01,Amérique Centrale,Amérique Centrale,104,23,1028,"9,9"
2011-06-01,Amérique du Nord,Canada,318,95,4139,13
2011-06-01,Amérique du Nord,États-Unis (y compris Hawaii),4590,1094,49832,"10,9"
2011-06-01,Amérique du Sud,Amérique du Sud,611,35,6992,"11,4"
2011-06-01,Asie,Asie,1404,32,9759,7
2011-06-01,Europe,Europe (hors France),2827,298,32961,"11,7"
2011-06-01,Europe,France,2865,188,87078,"30,4"
2011-06-01,Pacifique,Pacifique,1650,357,19760,12
2011-06-01,Autres Pays,Autres Pays,55,3,765,"13,9"
2011-05-01,Amérique Centrale,Amérique Centrale,329,25,2308,7
2011-05-01,Amérique du Nord,Canada,465,143,5796,"12,5"
2011-05-01,Amérique du Nord,États-Unis (y compris Hawaii),4439,747,42808,"9,6"
2011-05-01,Amérique du Sud,Amérique du Sud,466,60,4981,"10,7"
2011-05-01,Asie,Asie,1344,35,8822,"6,6"
2011-05-01,Europe,Europe (hors France),1762,222,23513,"13,3"
2011-05-01,Europe,France,2653,259,66061,"24,9"
2011-05-01,Pacifique,Pacifique,1356,157,15973,"11,8"
2011-05-01,Autres Pays,Autres Pays,24,3,296,"12,3"
2011-04-01,Amérique Centrale,Amérique Centrale,118,16,1097,"9,3"
2011-04-01,Amérique du Nord,Canada,624,264,7144,"11,4"
2011-04-01,Amérique du Nord,États-Unis (y compris Hawaii),3926,923,35946,"9,2"
2011-04-01,Amérique du Sud,Amérique du Sud,474,35,5496,"11,6"
2011-04-01,Asie,Asie,1103,31,7870,"7,1"
2011-04-01,Europe,Europe (hors France),1517,350,21263,14
2011-04-01,Europe,France,2907,320,72131,"24,8"
2011-04-01,Pacifique,Pacifique,1746,296,18988,"10,9"
2011-04-01,Autres Pays,Autres Pays,43,7,531,"12,3"
2011-03-01,Amérique Centrale,Amérique Centrale,85,13,750,"8,8"
2011-03-01,Amérique du Nord,Canada,1050,548,11620,"11,1"
2011-03-01,Amérique du Nord,États-Unis (y compris Hawaii),4293,1055,40045,"9,3"
2011-03-01,Amérique du Sud,Amérique du Sud,456,20,4835,"10,6"
2011-03-01,Asie,Asie,1102,54,8049,"7,3"
2011-03-01,Europe,Europe (hors France),1401,381,17141,"12,2"
2011-03-01,Europe,France,2697,252,71138,"26,4"
2011-03-01,Pacifique,Pacifique,1192,117,12878,"10,8"
2011-03-01,Autres Pays,Autres Pays,28,7,405,"14,5"
2011-02-01,Amérique Centrale,Amérique Centrale,81,19,860,"10,6"
2011-02-01,Amérique du Nord,Canada,750,317,8831,"11,8"
2011-02-01,Amérique du Nord,États-Unis (y compris Hawaii),3735,1160,34756,"9,3"
2011-02-01,Amérique du Sud,Amérique du Sud,379,22,3903,"10,3"
2011-02-01,Asie,Asie,1193,46,8507,"7,1"
2011-02-01,Europe,Europe (hors France),1417,478,17683,"12,5"
2011-02-01,Europe,France,2450,145,60723,"24,8"
2011-02-01,Pacifique,Pacifique,1010,77,10477,"10,4"
2011-02-01,Autres Pays,Autres Pays,23,8,277,12
2011-01-01,Amérique Centrale,Amérique Centrale,55,15,627,"11,4"
2011-01-01,Amérique du Nord,Canada,953,612,10658,"11,2"
2011-01-01,Amérique du Nord,États-Unis (y compris Hawaii),3592,1841,33532,"9,3"
2011-01-01,Amérique du Sud,Amérique du Sud,307,34,4055,"13,2"
2011-01-01,Asie,Asie,1455,46,9983,"6,9"
2011-01-01,Europe,Europe (hors France),1682,570,19380,"11,5"
2011-01-01,Europe,France,2043,257,63941,"31,3"
2011-01-01,Pacifique,Pacifique,1244,166,14859,"11,9"
2011-01-01,Autres Pays,Autres Pays,40,18,465,"11,6"
2010-12-01,Amérique Centrale,Amérique Centrale,172,92,2092,"12,2"
2010-12-01,Amérique du Nord,Canada,703,358,9475,"13,5"
2010-12-01,Amérique du Nord,États-Unis (y compris Hawaii),4469,1684,47334,"10,6"
2010-12-01,Amérique du Sud,Amérique du Sud,657,119,9491,"14,4"
2010-12-01,Asie,Asie,1344,40,9904,"7,4"
2010-12-01,Europe,Europe (hors France),1524,331,21896,"14,4"
2010-12-01,Europe,France,3167,176,87145,"27,5"
2010-12-01,Pacifique,Pacifique,1713,213,27864,"16,3"
2010-12-01,Autres Pays,Autres Pays,49,12,1536,"31,3"
2010-11-01,Amérique Centrale,Amérique Centrale,125,40,2046,"16,4"
2010-11-01,Amérique du Nord,Canada,630,238,6579,"10,4"
2010-11-01,Amérique du Nord,États-Unis (y compris Hawaii),4075,851,35948,"8,8"
2010-11-01,Amérique du Sud,Amérique du Sud,525,160,5159,"9,8"
2010-11-01,Asie,Asie,1454,68,9935,"6,8"
2010-11-01,Europe,Europe (hors France),1858,435,22385,12
2010-11-01,Europe,France,2695,218,69048,"25,6"
2010-11-01,Pacifique,Pacifique,1384,151,14106,"10,2"
2010-11-01,Autres Pays,Autres Pays,38,9,957,"25,2"
2010-10-01,Amérique Centrale,Amérique Centrale,125,58,1269,"10,2"
2010-10-01,Amérique du Nord,Canada,837,595,10613,"12,7"
2010-10-01,Amérique du Nord,États-Unis (y compris Hawaii),4539,1769,47342,"10,4"
2010-10-01,Amérique du Sud,Amérique du Sud,614,220,6315,"10,3"
2010-10-01,Asie,Asie,1221,88,8337,"6,8"
2010-10-01,Europe,Europe (hors France),3377,722,41584,"12,3"
2010-10-01,Europe,France,3778,367,93512,"24,8"
2010-10-01,Pacifique,Pacifique,1551,269,17051,11
2010-10-01,Autres Pays,Autres Pays,50,10,1104,"22,1"
2010-09-01,Amérique Centrale,Amérique Centrale,64,11,598,"9,3"
2010-09-01,Amérique du Nord,Canada,413,119,5224,"12,6"
2010-09-01,Amérique du Nord,États-Unis (y compris Hawaii),3674,627,37881,"10,3"
2010-09-01,Amérique du Sud,Amérique du Sud,505,23,5007,"9,9"
2010-09-01,Asie,Asie,1691,69,11112,"6,6"
2010-09-01,Europe,Europe (hors France),3690,443,44303,12
2010-09-01,Europe,France,2971,207,67422,"22,7"
2010-09-01,Pacifique,Pacifique,2103,246,21438,"10,2"
2010-09-01,Autres Pays,Autres Pays,49,5,664,"13,6"
2010-08-01,Amérique Centrale,Amérique Centrale,50,17,479,"9,6"
2010-08-01,Amérique du Nord,Canada,313,74,3850,"12,3"
2010-08-01,Amérique du Nord,États-Unis (y compris Hawaii),3452,645,34261,"9,9"
2010-08-01,Amérique du Sud,Amérique du Sud,346,20,3615,"10,4"
2010-08-01,Asie,Asie,1702,29,11423,"6,7"
2010-08-01,Europe,Europe (hors France),4474,528,52706,"11,8"
2010-08-01,Europe,France,3499,269,73932,"21,1"
2010-08-01,Pacifique,Pacifique,1213,221,13866,"11,4"
2010-08-01,Autres Pays,Autres Pays,38,6,502,"13,2"
2010-07-01,Amérique Centrale,Amérique Centrale,65,13,854,"13,1"
2010-07-01,Amérique du Nord,Canada,356,71,4115,"11,6"
2010-07-01,Amérique du Nord,États-Unis (y compris Hawaii),4051,996,42314,"10,4"
2010-07-01,Amérique du Sud,Amérique du Sud,444,32,5086,"11,5"
2010-07-01,Asie,Asie,2157,53,14181,"6,6"
2010-07-01,Europe,Europe (hors France),3981,438,47957,12
2010-07-01,Europe,France,4657,430,122333,"26,3"
2010-07-01,Pacifique,Pacifique,1963,204,24336,"12,4"
2010-07-01,Autres Pays,Autres Pays,116,19,2152,"18,6"
2010-06-01,Amérique Centrale,Amérique Centrale,35,2,344,"9,8"
2010-06-01,Amérique du Nord,Canada,243,126,3342,"13,8"
2010-06-01,Amérique du Nord,États-Unis (y compris Hawaii),3232,866,36429,"11,3"
2010-06-01,Amérique du Sud,Amérique du Sud,438,43,5042,"11,5"
2010-06-01,Asie,Asie,1111,28,8313,"7,5"
2010-06-01,Europe,Europe (hors France),2800,345,33842,"12,1"
2010-06-01,Europe,France,2775,195,88814,32
2010-06-01,Pacifique,Pacifique,1442,166,17015,"11,8"
2010-06-01,Autres Pays,Autres Pays,43,6,445,"10,3"
2010-05-01,Amérique Centrale,Amérique Centrale,53,9,476,9
2010-05-01,Amérique du Nord,Canada,307,69,4158,"13,5"
2010-05-01,Amérique du Nord,États-Unis (y compris Hawaii),3120,353,31084,10
2010-05-01,Amérique du Sud,Amérique du Sud,582,27,6846,"11,8"
2010-05-01,Asie,Asie,1497,42,9845,"6,6"
2010-05-01,Europe,Europe (hors France),2046,251,24933,"12,2"
2010-05-01,Europe,France,2633,162,62988,"23,9"
2010-05-01,Pacifique,Pacifique,1251,130,13049,"10,4"
2010-05-01,Autres Pays,Autres Pays,36,2,720,20
2010-04-01,Amérique Centrale,Amérique Centrale,73,17,749,"10,3"
2010-04-01,Amérique du Nord,Canada,464,100,5255,"11,3"
2010-04-01,Amérique du Nord,États-Unis (y compris Hawaii),3009,622,29655,"9,9"
2010-04-01,Amérique du Sud,Amérique du Sud,396,54,4141,"10,5"
2010-04-01,Asie,Asie,1198,27,8230,"6,9"
2010-04-01,Europe,Europe (hors France),1425,280,19072,"13,4"
2010-04-01,Europe,France,2474,265,56942,23
2010-04-01,Pacifique,Pacifique,1209,178,12539,"10,4"
2010-04-01,Autres Pays,Autres Pays,23,0,331,"14,4"
2010-03-01,Amérique Centrale,Amérique Centrale,74,9,731,"9,9"
2010-03-01,Amérique du Nord,Canada,451,209,6038,"13,4"
2010-03-01,Amérique du Nord,États-Unis (y compris Hawaii),3040,678,29384,"9,7"
2010-03-01,Amérique du Sud,Amérique du Sud,445,38,4919,"11,1"
2010-03-01,Asie,Asie,1105,14,6983,"6,3"
2010-03-01,Europe,Europe (hors France),1406,250,19377,"13,8"
2010-03-01,Europe,France,3034,250,72424,"23,9"
2010-03-01,Pacifique,Pacifique,968,97,10413,"10,8"
2010-03-01,Autres Pays,Autres Pays,24,1,285,"11,9"
2010-02-01,Amérique Centrale,Amérique Centrale,54,9,490,"9,1"
2010-02-01,Amérique du Nord,Canada,425,152,4960,"11,7"
2010-02-01,Amérique du Nord,États-Unis (y compris Hawaii),2253,705,19956,"8,9"
2010-02-01,Amérique du Sud,Amérique du Sud,457,66,4924,"10,8"
2010-02-01,Asie,Asie,1201,62,8095,"6,7"
2010-02-01,Europe,Europe (hors France),1835,825,19684,"10,7"
2010-02-01,Europe,France,2636,289,59378,"22,5"
2010-02-01,Pacifique,Pacifique,849,89,9479,"11,2"
2010-02-01,Autres Pays,Autres Pays,20,3,280,14
2010-01-01,Amérique Centrale,Amérique Centrale,58,11,446,"7,7"
2010-01-01,Amérique du Nord,Canada,326,118,4237,13
2010-01-01,Amérique du Nord,États-Unis (y compris Hawaii),2100,693,23043,11
2010-01-01,Amérique du Sud,Amérique du Sud,493,23,5408,11
2010-01-01,Asie,Asie,1034,37,7216,7
2010-01-01,Europe,Europe (hors France),1601,413,20692,"12,9"
2010-01-01,Europe,France,2225,131,66722,30
2010-01-01,Pacifique,Pacifique,1159,57,14218,"12,3"
2010-01-01,Autres Pays,Autres Pays,20,2,245,"12,3"
2009-12-01,Amérique Centrale,Amérique Centrale,144,64,1335,"9,3"
2009-12-01,Amérique du Nord,Canada,440,243,5637,"12,8"
2009-12-01,Amérique du Nord,États-Unis (y compris Hawaii),3532,1389,35809,"10,1"
2009-12-01,Amérique du Sud,Amérique du Sud,569,91,6191,"10,9"
2009-12-01,Asie,Asie,1402,74,11056,"7,9"
2009-12-01,Europe,Europe (hors France),1913,451,24694,"12,9"
2009-12-01,Europe,France,3125,178,79257,"25,4"
2009-12-01,Pacifique,Pacifique,1803,162,28211,"15,6"
2009-12-01,Autres Pays,Autres Pays,30,7,366,"12,2"
2009-11-01,Amérique Centrale,Amérique Centrale,90,34,826,"9,2"
2009-11-01,Amérique du Nord,Canada,533,342,6529,"12,2"
2009-11-01,Amérique du Nord,États-Unis (y compris Hawaii),3420,1516,34826,"10,2"
2009-11-01,Amérique du Sud,Amérique du Sud,643,231,7085,11
2009-11-01,Asie,Asie,1511,39,10357,"6,9"
2009-11-01,Europe,Europe (hors France),2141,702,26015,"12,2"
2009-11-01,Europe,France,3145,217,77040,"24,5"
2009-11-01,Pacifique,Pacifique,1378,204,14462,"10,5"
2009-11-01,Autres Pays,Autres Pays,31,7,310,10
2009-10-01,Amérique Centrale,Amérique Centrale,98,46,1405,"14,3"
2009-10-01,Amérique du Nord,Canada,627,419,7992,"12,7"
2009-10-01,Amérique du Nord,États-Unis (y compris Hawaii),3972,1982,42766,"10,8"
2009-10-01,Amérique du Sud,Amérique du Sud,649,239,7043,"10,9"
2009-10-01,Asie,Asie,1578,56,10575,"6,7"
2009-10-01,Europe,Europe (hors France),3488,899,41515,"11,9"
2009-10-01,Europe,France,3911,413,89461,"22,9"
2009-10-01,Pacifique,Pacifique,1598,315,17806,"11,1"
2009-10-01,Autres Pays,Autres Pays,51,13,656,"12,9"
2009-09-01,Amérique Centrale,Amérique Centrale,40,9,343,"8,6"
2009-09-01,Amérique du Nord,Canada,238,64,2587,"10,9"
2009-09-01,Amérique du Nord,États-Unis (y compris Hawaii),3297,957,35199,"10,7"
2009-09-01,Amérique du Sud,Amérique du Sud,534,62,5401,"10,1"
2009-09-01,Asie,Asie,1789,18,11739,"6,6"
2009-09-01,Europe,Europe (hors France),4100,576,49750,"12,1"
2009-09-01,Europe,France,3072,309,69799,"22,7"
2009-09-01,Pacifique,Pacifique,1777,289,19810,"11,1"
2009-09-01,Autres Pays,Autres Pays,41,12,669,"16,3"
2009-08-01,Amérique Centrale,Amérique Centrale,42,16,421,10
2009-08-01,Amérique du Nord,Canada,258,56,3363,13
2009-08-01,Amérique du Nord,États-Unis (y compris Hawaii),3814,1243,37933,"9,9"
2009-08-01,Amérique du Sud,Amérique du Sud,313,30,3287,"10,5"
2009-08-01,Asie,Asie,2084,63,13608,"6,5"
2009-08-01,Europe,Europe (hors France),4694,650,55991,"11,9"
2009-08-01,Europe,France,3484,213,71380,"20,5"
2009-08-01,Pacifique,Pacifique,1082,172,11599,"10,7"
2009-08-01,Autres Pays,Autres Pays,37,2,495,"13,4"
2009-07-01,Amérique Centrale,Amérique Centrale,77,21,1067,"13,9"
2009-07-01,Amérique du Nord,Canada,250,48,3323,"13,3"
2009-07-01,Amérique du Nord,États-Unis (y compris Hawaii),3826,1105,43162,"11,3"
2009-07-01,Amérique du Sud,Amérique du Sud,587,59,6882,"11,7"
2009-07-01,Asie,Asie,1821,35,12777,7
2009-07-01,Europe,Europe (hors France),4156,557,50291,"12,1"
2009-07-01,Europe,France,4485,378,115416,"25,7"
2009-07-01,Pacifique,Pacifique,1592,149,17345,"10,9"
2009-07-01,Autres Pays,Autres Pays,59,9,1036,"17,6"
2009-06-01,Amérique Centrale,Amérique Centrale,65,23,621,"9,6"
2009-06-01,Amérique du Nord,Canada,209,42,2872,"13,7"
2009-06-01,Amérique du Nord,États-Unis (y compris Hawaii),4020,1468,42012,"10,5"
2009-06-01,Amérique du Sud,Amérique du Sud,378,39,3828,"10,1"
2009-06-01,Asie,Asie,1558,48,9605,"6,2"
2009-06-01,Europe,Europe (hors France),3169,334,38858,"12,3"
2009-06-01,Europe,France,2920,166,87328,"29,9"
2009-06-01,Pacifique,Pacifique,1463,339,15940,"10,9"
2009-06-01,Autres Pays,Autres Pays,42,4,551,"13,1"
2009-05-01,Amérique Centrale,Amérique Centrale,65,20,629,"9,7"
2009-05-01,Amérique du Nord,Canada,339,131,4862,"14,3"
2009-05-01,Amérique du Nord,États-Unis (y compris Hawaii),3796,1274,37216,"9,8"
2009-05-01,Amérique du Sud,Amérique du Sud,576,42,6098,"10,6"
2009-05-01,Asie,Asie,1768,20,11798,"6,7"
2009-05-01,Europe,Europe (hors France),2445,432,30514,"12,5"
2009-05-01,Europe,France,3062,301,74131,"24,2"
2009-05-01,Pacifique,Pacifique,1140,130,12727,"11,2"
2009-05-01,Autres Pays,Autres Pays,45,3,833,"18,5"
2009-04-01,Amérique Centrale,Amérique Centrale,72,6,617,"8,6"
2009-04-01,Amérique du Nord,Canada,294,132,3731,"12,7"
2009-04-01,Amérique du Nord,États-Unis (y compris Hawaii),2995,1031,29064,"9,7"
2009-04-01,Amérique du Sud,Amérique du Sud,518,49,5879,"11,3"
2009-04-01,Asie,Asie,1252,78,9178,"7,3"
2009-04-01,Europe,Europe (hors France),1934,610,24802,"12,8"
2009-04-01,Europe,France,3015,261,63919,"21,2"
2009-04-01,Pacifique,Pacifique,1106,117,11834,"10,7"
2009-04-01,Autres Pays,Autres Pays,44,4,640,"14,5"
2009-03-01,Amérique Centrale,Amérique Centrale,81,6,692,"8,5"
2009-03-01,Amérique du Nord,Canada,299,53,3344,"11,2"
2009-03-01,Amérique du Nord,États-Unis (y compris Hawaii),3507,1569,31036,"8,8"
2009-03-01,Amérique du Sud,Amérique du Sud,355,22,4407,"12,4"
2009-03-01,Asie,Asie,1714,46,10851,"6,3"
2009-03-01,Europe,Europe (hors France),1784,347,21173,"11,9"
2009-03-01,Europe,France,3630,268,81646,"22,5"
2009-03-01,Pacifique,Pacifique,1007,91,9943,"9,9"
2009-03-01,Autres Pays,Autres Pays,38,1,369,"9,7"
2009-02-01,Amérique Centrale,Amérique Centrale,70,13,662,"9,5"
2009-02-01,Amérique du Nord,Canada,453,172,5214,"11,5"
2009-02-01,Amérique du Nord,États-Unis (y compris Hawaii),2368,897,23407,"9,9"
2009-02-01,Amérique du Sud,Amérique du Sud,329,20,3230,"9,8"
2009-02-01,Asie,Asie,1413,104,9197,"6,5"
2009-02-01,Europe,Europe (hors France),1766,403,22167,"12,6"
2009-02-01,Europe,France,2999,195,62456,"20,8"
2009-02-01,Pacifique,Pacifique,942,43,9796,"10,4"
2009-02-01,Autres Pays,Autres Pays,32,5,509,"15,9"
2009-01-01,Amérique Centrale,Amérique Centrale,36,6,471,"13,1"
2009-01-01,Amérique du Nord,Canada,325,93,3386,"10,4"
2009-01-01,Amérique du Nord,États-Unis (y compris Hawaii),2225,741,21599,"9,7"
2009-01-01,Amérique du Sud,Amérique du Sud,340,7,3923,"11,5"
