Année,Region,Pays,ISO3,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2017,Europe (hors France),Belgique,BEL,1092,241,21978,"239,4"
2017,Europe (hors France),Danemark,DNK,318,74,6121,"217,8"
2017,Europe (hors France),Espagne,ESP,2459,192,27034,"139,6"
2017,Europe (hors France),Finlande,FIN,165,25,2449,"181,6"
2017,Europe (hors France),Italie,ITA,7720,596,83327,"141,9"
2017,Europe (hors France),Luxembourg,LUX,133,23,2341,"224,5"
2017,Europe (hors France),Norvège,NOR,264,78,3592,"175,5"
2017,Europe (hors France),Pays-Bas,NLD,557,97,8602,183
2017,Europe (hors France),Portugal,PRT,296,50,3551,145
2017,Europe (hors France),Royaume-Uni,GBR,3768,993,44224,"140,9"
2017,Europe (hors France),Russie,RUS,472,130,5728,145
2017,Europe (hors France),Suède,SWE,356,97,4789,"168,8"
2017,Europe (hors France),Suisse,CHE,3054,803,58724,"226,9"
2017,France,France,FRA,41685,3749,1096625,"322,8"
2017,Pacifique,Australie,AUS,10015,2546,109817,"131,2"
2017,Pacifique,Autre Pacifique,,441,13,6991,"202,3"
2017,Pacifique,Cook,COK,354,88,3692,"112,1"
2017,Pacifique,Fidji,FJI,129,12,1726,"144,8"
2017,Pacifique,Nouvelle-Calédonie,NCL,4815,169,79724,"196,1"
2017,Pacifique,Nouvelle-Zélande,NZL,9392,1179,95532,"119,8"
2017,Pacifique,Samoa,WSM,71,3,1194,"177,4"
2017,Pacifique,Tonga,TON,25,0,276,"62,4"
2017,Proche et Moyen Orient,Proche et Moyen Orient,,594,51,6985,"141,7"
2016,Afrique,Afrique,,302,57,5513,"234,1"
2016,Amérique Centrale,Autre Amérique Centrale,,178,39,2188,"151,8"
2016,Amérique Centrale,Mexique,MEX,874,231,9268,129
2016,Amérique du Nord,Canada,CAN,6326,2810,80224,"156,1"
2016,Amérique du Nord,Hawaii,USA,2049,609,22933,"134,6"
2016,Amérique du Nord,USA,USA,65846,16856,629200,"114,7"
2016,Amérique du Sud,Argentine,ARG,2556,253,33299,"153,8"
2016,Amérique du Sud,Autre Amérique du Sud,,733,158,8661,142
2016,Amérique du Sud,Brésil,BRA,1516,221,16553,"132,9"
2016,Amérique du Sud,Chili,CHL,2027,233,23046,"134,5"
2016,Asie,Autre Asie,,82,18,1516,"272,4"
2016,Asie,Chine,CHN,5987,270,49281,"102,1"
2016,Asie,Corée du Sud,KOR,1170,44,9842,"102,5"
2016,Asie,Hong Kong,HKG,359,40,3593,"119,6"
2016,Asie,Inde,IND,637,33,4674,"86,4"
2016,Asie,Indonésie,IDN,214,156,3198,"259,9"
2016,Asie,Japon,JPN,12174,595,88094,"87,1"
2016,Asie,Malaisie,MYS,139,7,2268,"219,5"
2016,Asie,Philippines,PHL,163,115,1723,"145,5"
2016,Asie,Singapour,SGP,287,49,3108,"130,9"
2016,Asie,Taïwan,TWN,510,64,5416,"129,1"
2016,Asie,Thaïlande,THA,227,83,3017,"165,3"
2016,Europe (hors France),Allemagne,DEU,3951,1233,58346,"180,3"
2016,Europe (hors France),Autre Europe,,1513,291,19087,"153,2"
2016,Europe (hors France),Autriche,AUT,622,198,10040,"190,4"
2016,Europe (hors France),Belgique,BEL,991,252,20528,"257,5"
2016,Europe (hors France),Danemark,DNK,282,82,4705,"195,5"
2016,Europe (hors France),Espagne,ESP,2414,166,25457,"139,2"
2016,Europe (hors France),Finlande,FIN,149,47,2069,"159,4"
2016,Europe (hors France),Italie,ITA,7888,600,87237,"148,3"
2016,Europe (hors France),Luxembourg,LUX,171,35,2799,"202,7"
2016,Europe (hors France),Norvège,NOR,230,94,3031,151
2016,Europe (hors France),Pays-Bas,NLD,455,76,6678,167
2016,Europe (hors France),Portugal,PRT,254,22,3101,"156,6"
2016,Europe (hors France),Royaume-Uni,GBR,3980,904,47503,142
2016,Europe (hors France),Russie,RUS,392,78,4752,150
2016,Europe (hors France),Suède,SWE,395,88,5560,"173,2"
2016,Europe (hors France),Suisse,CHE,2831,668,52810,"222,9"
2016,France,France,FRA,39086,3958,1026652,321
2016,Pacifique,Australie,AUS,9757,2426,108506,"132,7"
2016,Pacifique,Autre Pacifique,,237,6,3319,"180,8"
2016,Pacifique,Cook,COK,328,101,3443,"130,9"
2016,Pacifique,Fidji,FJI,94,10,1239,"167,4"
2016,Pacifique,Nouvelle-Calédonie,NCL,4206,252,73526,"202,8"
2016,Pacifique,Nouvelle-Zélande,NZL,7221,1277,73456,"118,3"
2016,Pacifique,Samoa,WSM,58,3,394,"78,6"
2016,Pacifique,Tonga,TON,31,0,300,"68,5"
2016,Proche et Moyen Orient,Proche et Moyen Orient,,603,79,6202,"122,7"
2015,Afrique,Afrique,,255,60,5697,"268,7"
2015,Amérique Centrale,Autre Amérique Centrale,,46,17,475,"131,9"
2015,Amérique Centrale,Mexique,MEX,1061,302,10580,"119,9"
2015,Amérique du Nord,Canada,CAN,8402,4311,103910,"153,9"
2015,Amérique du Nord,Hawaii,USA,2074,548,23903,"137,4"
2015,Amérique du Nord,USA,USA,61831,18139,618649,"120,3"
2015,Amérique du Sud,Argentine,ARG,974,168,13215,"164,8"
2015,Amérique du Sud,Autre Amérique du Sud,,566,175,6753,"143,7"
2015,Amérique du Sud,Brésil,BRA,2357,253,26972,"135,1"
2015,Amérique du Sud,Chili,CHL,1731,138,20621,146
2015,Asie,Autre Asie,,27,12,501,"155,8"
2015,Asie,Chine,CHN,5555,267,49458,107
2015,Asie,Corée du Sud,KOR,1020,19,8760,"106,2"
2015,Asie,Hong Kong,HKG,469,82,5171,"132,8"
2015,Asie,Inde,IND,541,32,4189,"100,6"
2015,Asie,Indonésie,IDN,127,67,1891,193
2015,Asie,Japon,JPN,11447,272,84604,"88,9"
2015,Asie,Malaisie,MYS,166,28,1720,"144,2"
2015,Asie,Philippines,PHL,220,160,2213,"120,3"
2015,Asie,Singapour,SGP,310,40,3735,"136,7"
2015,Asie,Taïwan,TWN,446,23,4780,"131,2"
2015,Asie,Thaïlande,THA,154,20,3929,334
